sender_id,receiver_id,sender_dept,receiver_dept,interaction_type,duration_minutes,is_cross_department,week
EMP-03763,EMP-03283,Engineering,Engineering,meeting,2.6,False,2025-W34
EMP-03088,EMP-03941,Product,Product,meeting,3.9,False,2025-W14
EMP-00458,EMP-04687,Sales,Sales,chat,6.9,False,2025-W33
EMP-03800,EMP-01371,Operations,Operations,meeting,27.8,False,2025-W26
EMP-01823,EMP-04393,Sales,Product,email,7.7,True,2025-W15
EMP-01786,EMP-00508,HR,HR,meeting,33.7,False,2025-W07
EMP-04067,EMP-01504,Marketing,Marketing,email,0.3,False,2025-W20
EMP-00979,EMP-00476,Product,Sales,meeting,1.4,True,2025-W30
EMP-03506,EMP-02490,Sales,Customer Success,email,3.9,True,2025-W22
EMP-01412,EMP-01243,Product,Product,email,0.2,False,2025-W21
EMP-04742,EMP-04873,Operations,Operations,email,9.1,False,2025-W04
EMP-04803,EMP-00471,Finance,Finance,email,0.0,False,2025-W34
EMP-03526,EMP-00545,Operations,Operations,chat,0.2,False,2025-W21
EMP-03163,EMP-04446,Sales,Sales,chat,1.1,False,2025-W27
EMP-00286,EMP-02366,Finance,Finance,chat,4.9,False,2025-W30
EMP-01295,EMP-02016,Engineering,Engineering,meeting,5.5,False,2025-W18
EMP-01266,EMP-02382,Sales,Sales,meeting,0.5,False,2025-W21
EMP-00565,EMP-02013,Product,Product,email,3.5,False,2025-W21
EMP-01882,EMP-01184,Customer Success,Customer Success,meeting,4.0,False,2025-W25
EMP-03369,EMP-00620,Finance,Finance,chat,5.9,False,2025-W01
EMP-00222,EMP-02644,Product,Product,chat,2.1,False,2025-W23
EMP-00428,EMP-02067,Finance,Finance,email,8.8,False,2025-W39
EMP-02408,EMP-02936,Operations,Operations,email,7.0,False,2025-W39
EMP-00181,EMP-03760,Finance,Finance,email,1.6,False,2025-W22
EMP-00610,EMP-04158,Engineering,Engineering,email,6.0,False,2025-W06
EMP-03880,EMP-02954,Engineering,Engineering,chat,0.7,False,2025-W25
EMP-01260,EMP-01481,Sales,Sales,email,9.7,False,2025-W10
EMP-01103,EMP-02751,Engineering,Engineering,email,2.1,False,2025-W39
EMP-02611,EMP-00688,Engineering,Engineering,email,0.7,False,2025-W23
EMP-04515,EMP-04306,Sales,Sales,chat,1.7,False,2025-W01
EMP-02335,EMP-03339,HR,HR,meeting,54.3,False,2025-W17
EMP-01355,EMP-03986,Marketing,Marketing,meeting,27.7,False,2025-W28
EMP-02704,EMP-03343,HR,HR,email,1.2,False,2025-W28
EMP-02958,EMP-00795,Sales,Sales,email,3.1,False,2025-W31
EMP-04305,EMP-02527,Sales,Operations,email,14.3,True,2025-W32
EMP-02661,EMP-02429,Operations,Customer Success,email,1.8,True,2025-W06
EMP-02098,EMP-04697,Operations,Operations,chat,6.3,False,2025-W01
EMP-00468,EMP-02909,Finance,Finance,email,1.2,False,2025-W31
EMP-04343,EMP-03795,Operations,Operations,chat,2.5,False,2025-W06
EMP-01368,EMP-00564,Product,Marketing,chat,1.9,True,2025-W01
EMP-01316,EMP-04003,Engineering,Engineering,meeting,34.1,False,2025-W35
EMP-01735,EMP-01155,Product,Product,meeting,32.2,False,2025-W23
EMP-03667,EMP-04767,Customer Success,Customer Success,email,16.4,False,2025-W18
EMP-03797,EMP-03485,HR,Engineering,chat,0.5,True,2025-W30
EMP-04840,EMP-00486,Operations,Finance,meeting,5.9,True,2025-W06
EMP-02498,EMP-01561,HR,HR,email,6.1,False,2025-W03
EMP-03188,EMP-03989,Operations,Operations,email,0.2,False,2025-W11
EMP-01341,EMP-03630,Sales,Sales,email,1.9,False,2025-W31
EMP-00025,EMP-00195,Sales,Sales,email,13.3,False,2025-W15
EMP-00534,EMP-01915,Operations,Operations,email,8.7,False,2025-W38
EMP-00898,EMP-04927,Operations,Operations,chat,4.8,False,2025-W22
EMP-03279,EMP-04608,Product,Product,email,4.5,False,2025-W09
EMP-00872,EMP-00120,Engineering,Engineering,email,9.9,False,2025-W15
EMP-04643,EMP-01590,Operations,Operations,chat,5.7,False,2025-W14
EMP-01744,EMP-04786,Marketing,Marketing,email,7.6,False,2025-W26
EMP-04846,EMP-04487,HR,HR,email,0.0,False,2025-W34
EMP-02066,EMP-02854,Product,Product,email,2.8,False,2025-W22
EMP-02635,EMP-01278,Engineering,Engineering,meeting,47.9,False,2025-W01
EMP-03777,EMP-00941,Marketing,Marketing,chat,3.3,False,2025-W19
EMP-03266,EMP-00625,Customer Success,Customer Success,chat,2.3,False,2025-W33
EMP-04031,EMP-04110,Product,Product,chat,4.4,False,2025-W03
EMP-02386,EMP-04806,HR,HR,email,14.3,False,2025-W27
EMP-03698,EMP-04655,Sales,Sales,email,6.5,False,2025-W02
EMP-02139,EMP-01031,Customer Success,Customer Success,email,8.2,False,2025-W39
EMP-04643,EMP-00928,Operations,Operations,chat,8.7,False,2025-W02
EMP-01799,EMP-01988,Engineering,Product,chat,0.7,True,2025-W01
EMP-04315,EMP-00641,Operations,Operations,meeting,24.1,False,2025-W21
EMP-00533,EMP-00288,Engineering,Engineering,chat,2.8,False,2025-W02
EMP-00077,EMP-04582,Finance,Engineering,meeting,48.2,True,2025-W33
EMP-01632,EMP-02984,Marketing,Marketing,email,0.5,False,2025-W07
EMP-02133,EMP-01948,Marketing,Marketing,email,4.5,False,2025-W27
EMP-02679,EMP-00823,Sales,Marketing,chat,2.6,True,2025-W11
EMP-03229,EMP-01599,Sales,Sales,meeting,5.9,False,2025-W35
EMP-01082,EMP-02430,Engineering,Sales,chat,9.6,True,2025-W14
EMP-00228,EMP-02892,Customer Success,Customer Success,email,0.4,False,2025-W36
EMP-01236,EMP-01221,Marketing,Marketing,email,12.0,False,2025-W36
EMP-04633,EMP-03141,Sales,Sales,chat,2.1,False,2025-W01
EMP-00933,EMP-00467,Operations,Operations,email,10.3,False,2025-W18
EMP-00235,EMP-01208,Sales,Customer Success,email,4.7,True,2025-W32
EMP-03236,EMP-02600,Engineering,Engineering,email,12.2,False,2025-W18
EMP-00942,EMP-01089,Finance,Finance,email,11.5,False,2025-W28
EMP-01541,EMP-04076,Marketing,Marketing,meeting,0.6,False,2025-W16
EMP-03582,EMP-04471,Sales,Sales,meeting,17.1,False,2025-W14
EMP-04469,EMP-03301,Engineering,Engineering,chat,2.2,False,2025-W27
EMP-00247,EMP-02656,Engineering,Product,email,0.6,True,2025-W06
EMP-00741,EMP-04338,Marketing,Marketing,chat,1.2,False,2025-W11
EMP-03699,EMP-03046,Product,Product,chat,0.9,False,2025-W02
EMP-01484,EMP-02713,Engineering,Customer Success,chat,2.8,True,2025-W05
EMP-03467,EMP-01441,Marketing,Marketing,meeting,18.1,False,2025-W28
EMP-03580,EMP-03635,Customer Success,Customer Success,meeting,55.1,False,2025-W09
EMP-02539,EMP-02604,Engineering,Engineering,chat,0.4,False,2025-W13
EMP-04151,EMP-03387,Operations,Operations,meeting,31.4,False,2025-W34
EMP-02421,EMP-04514,Product,Product,meeting,23.1,False,2025-W34
EMP-04515,EMP-04980,Sales,Sales,meeting,1.2,False,2025-W30
EMP-02880,EMP-00592,Product,Customer Success,chat,1.9,True,2025-W13
EMP-04770,EMP-00759,Marketing,Marketing,meeting,8.3,False,2025-W09
EMP-03704,EMP-02498,HR,HR,meeting,3.0,False,2025-W15
EMP-04102,EMP-03408,Engineering,Engineering,meeting,34.7,False,2025-W08
EMP-02344,EMP-00041,Finance,Finance,meeting,5.9,False,2025-W10
EMP-01612,EMP-02742,Engineering,Customer Success,email,0.6,True,2025-W15
EMP-01050,EMP-01799,Product,Engineering,email,0.8,True,2025-W38
EMP-00280,EMP-03729,Operations,Operations,meeting,0.7,False,2025-W14
EMP-02877,EMP-00788,Engineering,Engineering,email,1.5,False,2025-W37
EMP-04746,EMP-04991,Engineering,Engineering,email,0.6,False,2025-W38
EMP-00175,EMP-04367,Customer Success,Customer Success,email,11.5,False,2025-W34
EMP-02719,EMP-01826,Customer Success,Customer Success,meeting,24.3,False,2025-W36
EMP-01190,EMP-02613,Product,Product,chat,4.9,False,2025-W17
EMP-00292,EMP-04700,Sales,Sales,chat,2.9,False,2025-W38
EMP-04728,EMP-00583,HR,HR,email,10.3,False,2025-W16
EMP-00808,EMP-04343,Operations,Operations,email,17.4,False,2025-W31
EMP-01283,EMP-03363,Marketing,Finance,chat,6.8,True,2025-W03
EMP-04781,EMP-02000,Product,Product,email,7.7,False,2025-W35
EMP-03315,EMP-00638,Sales,Sales,meeting,40.8,False,2025-W24
EMP-00311,EMP-03957,Product,Product,meeting,7.3,False,2025-W13
EMP-01638,EMP-04584,Marketing,Operations,meeting,31.9,True,2025-W09
EMP-03518,EMP-00432,Operations,Operations,email,2.0,False,2025-W19
EMP-03754,EMP-02368,Engineering,Engineering,email,4.2,False,2025-W21
EMP-01229,EMP-04211,HR,HR,email,32.4,False,2025-W07
EMP-00927,EMP-00042,HR,HR,meeting,4.4,False,2025-W21
EMP-00185,EMP-03285,Sales,Sales,meeting,11.0,False,2025-W19
EMP-00071,EMP-00009,Operations,Operations,email,2.8,False,2025-W14
EMP-01203,EMP-03369,Finance,Finance,meeting,71.2,False,2025-W17
EMP-04989,EMP-02009,Marketing,Marketing,meeting,55.3,False,2025-W12
EMP-01547,EMP-03468,Engineering,Engineering,chat,1.9,False,2025-W23
EMP-01908,EMP-04782,Customer Success,Customer Success,email,23.3,False,2025-W02
EMP-01249,EMP-03008,Marketing,Marketing,meeting,14.9,False,2025-W39
EMP-03861,EMP-03933,HR,HR,meeting,24.5,False,2025-W35
EMP-04305,EMP-03837,Sales,Sales,email,1.9,False,2025-W24
EMP-02833,EMP-00940,Engineering,Engineering,email,1.3,False,2025-W30
EMP-03816,EMP-00504,Finance,Engineering,email,0.9,True,2025-W34
EMP-04606,EMP-03033,Sales,Sales,email,4.7,False,2025-W38
EMP-04851,EMP-03183,Marketing,Marketing,meeting,13.3,False,2025-W06
EMP-01602,EMP-03063,Operations,Sales,meeting,129.5,True,2025-W25
EMP-04029,EMP-00680,Finance,Finance,chat,1.3,False,2025-W06
EMP-00015,EMP-00983,Sales,Sales,email,0.2,False,2025-W13
EMP-04288,EMP-01822,Engineering,Engineering,meeting,12.8,False,2025-W22
EMP-04344,EMP-02513,Sales,Sales,email,1.3,False,2025-W20
EMP-03559,EMP-03073,Engineering,Engineering,email,1.2,False,2025-W18
EMP-04592,EMP-04869,Marketing,Marketing,email,4.8,False,2025-W24
EMP-00936,EMP-00396,Sales,Sales,email,4.6,False,2025-W19
EMP-03741,EMP-01698,Product,Finance,email,9.3,True,2025-W02
EMP-04610,EMP-03577,Product,Product,email,2.7,False,2025-W07
EMP-00483,EMP-04390,Operations,Operations,meeting,40.7,False,2025-W22
EMP-04718,EMP-00365,Engineering,Engineering,meeting,5.2,False,2025-W01
EMP-04277,EMP-04377,Product,Customer Success,meeting,31.4,True,2025-W38
EMP-03296,EMP-01343,Sales,Marketing,chat,1.8,True,2025-W04
EMP-03547,EMP-01085,Sales,Sales,email,1.2,False,2025-W20
EMP-00399,EMP-01540,Sales,Sales,meeting,150.7,False,2025-W17
EMP-00062,EMP-03462,Customer Success,Product,email,7.7,True,2025-W05
EMP-03925,EMP-00342,Finance,Product,email,12.6,True,2025-W28
EMP-00064,EMP-04241,HR,HR,email,0.3,False,2025-W06
EMP-03699,EMP-00407,Product,Product,chat,1.2,False,2025-W31
EMP-04747,EMP-04171,Customer Success,Customer Success,email,11.4,False,2025-W20
EMP-00406,EMP-04680,Engineering,Engineering,email,1.6,False,2025-W30
EMP-04361,EMP-02488,Product,Engineering,email,4.3,True,2025-W34
EMP-03552,EMP-01846,Operations,Sales,chat,3.8,True,2025-W23
EMP-01748,EMP-00972,Product,Product,email,1.6,False,2025-W20
EMP-02493,EMP-00904,Customer Success,Engineering,meeting,42.5,True,2025-W08
EMP-00075,EMP-02806,Operations,Operations,meeting,81.0,False,2025-W26
EMP-03271,EMP-01485,Engineering,Marketing,meeting,30.9,True,2025-W34
EMP-00949,EMP-04015,Product,Product,email,5.1,False,2025-W36
EMP-04340,EMP-00882,Sales,Sales,email,0.0,False,2025-W25
EMP-02259,EMP-04848,Customer Success,Product,email,6.5,True,2025-W02
EMP-02572,EMP-01084,Sales,Sales,email,12.8,False,2025-W06
EMP-02177,EMP-04472,HR,HR,chat,0.8,False,2025-W27
EMP-02130,EMP-00674,Engineering,Engineering,meeting,14.1,False,2025-W23
EMP-04306,EMP-00303,Sales,Sales,email,5.5,False,2025-W37
EMP-04902,EMP-04720,Sales,Sales,meeting,23.5,False,2025-W33
EMP-04316,EMP-04118,Sales,Sales,meeting,26.5,False,2025-W18
EMP-03502,EMP-04335,Marketing,Marketing,meeting,12.2,False,2025-W19
EMP-02935,EMP-02311,Product,Product,email,7.4,False,2025-W32
EMP-03066,EMP-04489,HR,Customer Success,meeting,71.4,True,2025-W31
EMP-02838,EMP-03783,Marketing,Marketing,email,0.2,False,2025-W38
EMP-01293,EMP-02993,Operations,Operations,meeting,65.6,False,2025-W30
EMP-02767,EMP-00274,Marketing,Marketing,meeting,9.2,False,2025-W09
EMP-01018,EMP-02495,Engineering,Engineering,email,1.8,False,2025-W34
EMP-01098,EMP-01198,Engineering,Engineering,email,5.5,False,2025-W39
EMP-01977,EMP-04177,Product,Product,email,3.2,False,2025-W36
EMP-00022,EMP-03199,Sales,Sales,chat,0.5,False,2025-W12
EMP-01764,EMP-04847,Product,Product,email,2.6,False,2025-W39
EMP-04297,EMP-02244,Sales,Sales,chat,2.1,False,2025-W31
EMP-02295,EMP-01601,Marketing,Operations,meeting,4.8,True,2025-W28
EMP-02209,EMP-00112,Customer Success,Customer Success,email,11.0,False,2025-W38
EMP-00830,EMP-03762,Engineering,Engineering,email,4.5,False,2025-W39
EMP-02351,EMP-02957,Marketing,Marketing,email,3.0,False,2025-W35
EMP-01103,EMP-04582,Engineering,Engineering,chat,6.9,False,2025-W38
EMP-03622,EMP-02389,Customer Success,Customer Success,meeting,7.6,False,2025-W12
EMP-03299,EMP-01221,Marketing,Marketing,meeting,10.6,False,2025-W10
EMP-03598,EMP-00116,Marketing,Marketing,email,0.4,False,2025-W13
EMP-04584,EMP-00828,Operations,Product,meeting,55.0,True,2025-W01
EMP-02855,EMP-02147,Operations,Operations,email,2.6,False,2025-W08
EMP-02996,EMP-02137,Finance,Finance,chat,1.7,False,2025-W33
EMP-01797,EMP-04485,Operations,Engineering,chat,2.9,True,2025-W34
EMP-01520,EMP-04957,Product,Product,email,1.2,False,2025-W15
EMP-02056,EMP-04921,Engineering,Engineering,meeting,16.3,False,2025-W14
EMP-00259,EMP-02086,Marketing,Marketing,email,2.4,False,2025-W07
EMP-03273,EMP-02433,Operations,Sales,email,2.4,True,2025-W05
EMP-02562,EMP-03751,Engineering,Product,email,0.4,True,2025-W38
EMP-01859,EMP-04876,Sales,Sales,meeting,22.9,False,2025-W19
EMP-02350,EMP-00954,Customer Success,Customer Success,email,16.4,False,2025-W16
EMP-00310,EMP-03683,Engineering,Engineering,chat,0.4,False,2025-W23
EMP-01790,EMP-02179,Product,Product,email,1.0,False,2025-W30
EMP-04955,EMP-02307,HR,Sales,meeting,25.1,True,2025-W22
EMP-03871,EMP-02768,Operations,Engineering,meeting,4.8,True,2025-W13
EMP-02241,EMP-00469,Operations,Sales,email,0.4,True,2025-W09
EMP-02383,EMP-01674,Sales,Sales,email,1.8,False,2025-W16
EMP-00268,EMP-04679,Engineering,Engineering,chat,3.1,False,2025-W39
EMP-03204,EMP-00867,Sales,Sales,email,5.5,False,2025-W36
EMP-02980,EMP-00696,Sales,Sales,email,5.5,False,2025-W12
EMP-04386,EMP-04775,Operations,Operations,email,5.4,False,2025-W07
EMP-02571,EMP-01995,Customer Success,Customer Success,chat,3.8,False,2025-W28
EMP-02241,EMP-04765,Operations,Product,email,1.8,True,2025-W15
EMP-02385,EMP-02298,HR,Engineering,chat,1.2,True,2025-W12
EMP-03607,EMP-00802,Engineering,Engineering,email,1.7,False,2025-W05
EMP-04289,EMP-03047,Customer Success,Customer Success,email,2.2,False,2025-W28
EMP-02571,EMP-01711,Customer Success,Operations,meeting,2.4,True,2025-W26
EMP-00494,EMP-03829,HR,HR,meeting,45.1,False,2025-W35
EMP-02726,EMP-04770,Customer Success,Marketing,email,1.5,True,2025-W24
EMP-04776,EMP-02134,Sales,Engineering,email,11.2,True,2025-W27
EMP-00295,EMP-01051,Operations,Operations,chat,6.5,False,2025-W18
EMP-03754,EMP-00081,Engineering,Engineering,chat,3.4,False,2025-W25
EMP-02616,EMP-03937,Operations,Operations,meeting,3.0,False,2025-W31
EMP-03061,EMP-02841,HR,HR,email,3.1,False,2025-W18
EMP-02652,EMP-02269,Sales,Product,meeting,28.8,True,2025-W10
EMP-00128,EMP-04699,Customer Success,Customer Success,chat,13.6,False,2025-W32
EMP-00562,EMP-04065,Product,Product,email,0.7,False,2025-W22
EMP-00778,EMP-02095,Marketing,Marketing,email,0.5,False,2025-W01
EMP-02570,EMP-03180,Product,Product,email,1.2,False,2025-W33
EMP-00468,EMP-01458,Finance,Finance,email,0.5,False,2025-W09
EMP-01103,EMP-01132,Engineering,Engineering,meeting,68.0,False,2025-W21
EMP-00779,EMP-01982,Finance,Engineering,email,0.9,True,2025-W30
EMP-00758,EMP-02296,Customer Success,Operations,email,2.0,True,2025-W04
EMP-01612,EMP-04156,Engineering,Engineering,email,3.8,False,2025-W12
EMP-01536,EMP-00072,Engineering,Engineering,email,3.5,False,2025-W38
EMP-04777,EMP-03334,Operations,Operations,meeting,14.9,False,2025-W27
EMP-02330,EMP-01618,Operations,Operations,email,4.0,False,2025-W15
EMP-00270,EMP-03702,Engineering,Engineering,chat,0.2,False,2025-W06
EMP-00762,EMP-02871,Finance,Finance,email,6.7,False,2025-W27
EMP-03607,EMP-02876,Engineering,Engineering,email,1.2,False,2025-W29
EMP-01613,EMP-02038,HR,HR,chat,7.3,False,2025-W13
EMP-01076,EMP-00797,HR,Marketing,email,27.0,True,2025-W28
EMP-00310,EMP-03695,Engineering,Marketing,chat,5.5,True,2025-W17
EMP-04872,EMP-03947,Finance,Engineering,email,4.9,True,2025-W03
EMP-01462,EMP-02771,Operations,Operations,meeting,19.9,False,2025-W21
EMP-03002,EMP-04974,Operations,Operations,meeting,56.1,False,2025-W23
EMP-01303,EMP-03495,Product,Product,email,2.5,False,2025-W17
EMP-04618,EMP-02469,Product,Product,meeting,8.1,False,2025-W10
EMP-00783,EMP-01261,Engineering,Engineering,meeting,12.6,False,2025-W05
EMP-03138,EMP-04956,Operations,Operations,chat,4.8,False,2025-W18
EMP-01968,EMP-01804,Engineering,Engineering,meeting,12.0,False,2025-W22
EMP-04019,EMP-04330,Sales,Sales,email,5.5,False,2025-W28
EMP-03338,EMP-03903,Engineering,Engineering,meeting,50.8,False,2025-W33
EMP-02591,EMP-02563,Engineering,Engineering,email,14.3,False,2025-W38
EMP-03968,EMP-03857,HR,HR,email,0.5,False,2025-W09
EMP-04156,EMP-04391,Engineering,Engineering,meeting,9.0,False,2025-W24
EMP-03918,EMP-04276,Product,Product,email,7.5,False,2025-W20
EMP-01307,EMP-01535,Customer Success,Customer Success,meeting,28.7,False,2025-W10
EMP-04159,EMP-00800,Product,Product,email,5.6,False,2025-W14
EMP-03058,EMP-01086,Engineering,Engineering,email,3.2,False,2025-W30
EMP-04407,EMP-02815,HR,HR,chat,1.6,False,2025-W16
EMP-03428,EMP-02695,Engineering,Engineering,email,4.2,False,2025-W38
EMP-01230,EMP-00973,Engineering,Engineering,email,2.7,False,2025-W11
EMP-00803,EMP-03006,Engineering,Engineering,email,8.2,False,2025-W13
EMP-00970,EMP-01977,Product,Product,chat,0.6,False,2025-W05
EMP-02471,EMP-03229,Sales,Sales,email,2.1,False,2025-W25
EMP-00146,EMP-02796,Product,Finance,chat,0.5,True,2025-W38
EMP-00772,EMP-02324,Operations,Operations,chat,0.5,False,2025-W12
EMP-00339,EMP-04276,Product,Product,chat,3.7,False,2025-W15
EMP-01523,EMP-01262,Sales,Engineering,email,3.4,True,2025-W14
EMP-02135,EMP-03933,HR,HR,meeting,45.3,False,2025-W37
EMP-04385,EMP-00578,Marketing,Marketing,email,2.0,False,2025-W24
EMP-02287,EMP-04648,HR,HR,email,5.2,False,2025-W39
EMP-02894,EMP-04210,HR,Sales,chat,1.4,True,2025-W23
EMP-00966,EMP-01673,Operations,Operations,email,7.7,False,2025-W11
EMP-04389,EMP-01601,Operations,Operations,meeting,30.2,False,2025-W34
EMP-02111,EMP-00238,Product,Product,chat,3.6,False,2025-W36
EMP-04031,EMP-00342,Product,Product,chat,5.5,False,2025-W07
EMP-04155,EMP-02463,Sales,Sales,meeting,14.1,False,2025-W28
EMP-04547,EMP-03026,HR,HR,meeting,12.4,False,2025-W13
EMP-01850,EMP-00008,Engineering,Engineering,email,2.9,False,2025-W05
EMP-02933,EMP-04503,Engineering,Engineering,chat,1.8,False,2025-W38
EMP-04080,EMP-01925,Engineering,Engineering,chat,2.3,False,2025-W34
EMP-04679,EMP-04739,Engineering,Engineering,meeting,104.0,False,2025-W34
EMP-01610,EMP-02115,Sales,Customer Success,email,2.0,True,2025-W24
EMP-00105,EMP-03177,HR,HR,meeting,22.7,False,2025-W11
EMP-00098,EMP-03730,Customer Success,Customer Success,meeting,11.6,False,2025-W10
EMP-00955,EMP-01962,Sales,Sales,email,1.8,False,2025-W09
EMP-00403,EMP-02776,Product,Product,chat,6.6,False,2025-W12
EMP-04344,EMP-03229,Sales,Sales,meeting,15.7,False,2025-W14
