employee_id,department,level,location,hire_date,tenure_months,is_active,gender,age_group
EMP-00001,Engineering,Senior,Remote,2023-01-31,34.5,True,M,41-50
EMP-00002,Operations,IC1,New York,2023-12-30,23.4,True,F,41-50
EMP-00003,Engineering,IC2,San Francisco,2022-05-10,43.4,False,M,51-60
EMP-00004,Sales,IC2,Seattle,2023-07-18,28.9,True,F,51-60
EMP-00005,Engineering,IC2,Remote,2023-02-04,34.4,True,F,41-50
EMP-00006,Engineering,IC1,New York,2022-12-31,35.5,True,M,41-50
EMP-00007,Engineering,IC1,San Francisco,2024-09-20,14.6,True,M,31-40
EMP-00008,Engineering,IC1,Seattle,2022-11-10,37.2,True,F,22-30
EMP-00009,Operations,IC1,San Francisco,2024-06-26,17.4,True,M,22-30
EMP-00010,Product,IC1,Remote,2020-05-01,68.0,True,M,41-50
EMP-00011,Customer Success,IC1,New York,2021-04-11,56.5,True,M,41-50
EMP-00012,Marketing,IC2,San Francisco,2023-05-23,30.8,True,M,41-50
EMP-00013,Sales,IC1,New York,2020-11-26,61.0,True,M,31-40
EMP-00014,Marketing,Manager,Austin,2024-01-22,22.6,False,F,22-30
EMP-00015,Sales,IC1,San Francisco,2020-03-28,69.1,True,F,31-40
EMP-00016,Finance,IC1,Seattle,2023-10-28,25.5,True,F,31-40
EMP-00017,Product,IC2,New York,2023-01-28,34.6,True,F,31-40
EMP-00018,Product,IC1,Austin,2022-05-21,43.0,True,M,51-60
EMP-00019,Operations,Senior,Austin,2024-08-14,15.8,False,M,22-30
EMP-00020,Customer Success,IC1,Remote,2020-05-10,67.7,True,F,31-40
EMP-00021,Operations,Manager,San Francisco,2024-08-12,15.9,True,F,31-40
EMP-00022,Sales,Senior,Seattle,2023-08-25,27.6,True,F,51-60
EMP-00023,Finance,IC2,Remote,2022-02-08,46.4,True,F,51-60
EMP-00024,Sales,IC2,San Francisco,2020-12-09,60.6,True,F,31-40
EMP-00025,Sales,Senior,New York,2024-02-24,21.5,True,M,51-60
EMP-00026,Engineering,IC2,Austin,2023-12-08,24.1,True,F,31-40
EMP-00027,Marketing,IC2,New York,2022-03-16,45.2,True,F,22-30
EMP-00028,Engineering,IC1,Seattle,2021-01-20,59.2,True,NB,31-40
EMP-00029,Product,IC1,Austin,2023-04-30,31.5,True,F,22-30
EMP-00030,Operations,IC2,Remote,2022-08-13,40.2,True,F,41-50
EMP-00031,Engineering,IC2,New York,2020-10-03,62.8,True,M,51-60
EMP-00032,Engineering,Senior,San Francisco,2023-03-30,32.6,True,F,41-50
EMP-00033,Engineering,IC1,Seattle,2021-04-04,56.7,True,NB,31-40
EMP-00034,Customer Success,Senior,Seattle,2023-08-30,27.5,True,F,31-40
EMP-00035,Sales,IC1,San Francisco,2020-01-22,71.3,True,F,22-30
EMP-00036,Sales,IC2,San Francisco,2020-09-09,63.6,True,M,31-40
EMP-00037,Operations,IC1,Remote,2022-01-17,47.1,True,F,22-30
EMP-00038,Operations,IC2,Austin,2022-05-06,43.5,True,F,31-40
EMP-00039,Product,IC1,Austin,2024-05-03,19.2,True,F,41-50
