date,department,headcount,hires,departures,net_change
2023-01-01,Engineering,885,22,25,-3
2023-01-31,Engineering,922,34,24,10
2023-03-02,Engineering,922,35,22,13
2023-04-01,Engineering,907,28,17,11
2023-05-01,Engineering,931,35,30,5
2023-05-31,Engineering,936,34,35,-1
2023-06-30,Engineering,956,42,29,13
2023-07-30,Engineering,918,38,22,16
2023-08-29,Engineering,942,37,25,12
2023-09-28,Engineering,929,34,25,9
2023-10-28,Engineering,951,46,27,19
2023-11-27,Engineering,951,32,29,3
2023-12-27,Engineering,985,35,29,6
2024-01-26,Engineering,991,40,29,11
2024-02-25,Engineering,1041,31,26,5
2024-03-26,Engineering,1042,36,38,-2
2024-04-25,Engineering,1030,47,32,15
2024-05-25,Engineering,994,44,39,5
2024-06-24,Engineering,989,30,33,-3
2024-07-24,Engineering,986,37,29,8
2024-08-23,Engineering,1023,29,37,-8
2024-09-22,Engineering,1016,35,22,13
2024-10-22,Engineering,1044,44,41,3
2024-11-21,Engineering,1036,47,33,14
2024-12-21,Engineering,1082,35,42,-7
2025-01-20,Engineering,1095,46,38,8
2025-02-19,Engineering,1102,42,39,3
2025-03-21,Engineering,1128,42,30,12
2025-04-20,Engineering,1099,44,42,2
2025-05-20,Engineering,1130,39,33,6
2025-06-19,Engineering,1095,38,23,15
2025-07-19,Engineering,1136,38,27,11
2025-08-18,Engineering,1080,49,33,16
2025-09-17,Engineering,1132,43,32,11
2025-10-17,Engineering,1082,45,27,18
2025-11-16,Engineering,1108,50,34,16
2023-01-01,Product,522,21,9,12
2023-01-31,Product,538,17,13,4
2023-03-02,Product,541,26,15,11
2023-04-01,Product,552,24,16,8
2023-05-01,Product,554,20,22,-2
2023-05-31,Product,552,24,19,5
2023-06-30,Product,562,26,20,6
2023-07-30,Product,547,26,18,8
2023-08-29,Product,549,13,18,-5
2023-09-28,Product,540,27,14,13
2023-10-28,Product,548,26,22,4
2023-11-27,Product,583,19,24,-5
2023-12-27,Product,571,21,22,-1
2024-01-26,Product,578,27,17,10
2024-02-25,Product,609,24,17,7
2024-03-26,Product,627,25,20,5
2024-04-25,Product,618,31,19,12
2024-05-25,Product,581,34,19,15
2024-06-24,Product,550,21,14,7
2024-07-24,Product,574,21,8,13
2024-08-23,Product,611,17,11,6
2024-09-22,Product,603,25,11,14
2024-10-22,Product,597,22,24,-2
2024-11-21,Product,613,21,20,1
2024-12-21,Product,612,26,29,-3
2025-01-20,Product,656,26,19,7
2025-02-19,Product,647,31,20,11
2025-03-21,Product,676,28,17,11
2025-04-20,Product,658,36,14,22
2025-05-20,Product,644,21,21,0
2025-06-19,Product,672,29,22,7
2025-07-19,Product,658,26,22,4
2025-08-18,Product,654,25,21,4
2025-09-17,Product,653,23,22,1
2025-10-17,Product,658,20,25,-5
2025-11-16,Product,671,16,26,-10
2023-01-01,Sales,534,17,22,-5
2023-01-31,Sales,553,22,11,11
2023-03-02,Sales,576,25,20,5
2023-04-01,Sales,593,31,16,15
2023-05-01,Sales,580,18,16,2
2023-05-31,Sales,587,24,31,-7
2023-06-30,Sales,575,26,9,17
2023-07-30,Sales,559,21,16,5
2023-08-29,Sales,560,17,12,5
2023-09-28,Sales,557,19,13,6
2023-10-28,Sales,582,27,17,10
2023-11-27,Sales,580,24,21,3
2023-12-27,Sales,601,19,15,4
2024-01-26,Sales,603,14,16,-2
2024-02-25,Sales,612,22,25,-3
2024-03-26,Sales,627,13,16,-3
2024-04-25,Sales,626,34,20,14
2024-05-25,Sales,577,23,21,2
2024-06-24,Sales,594,23,21,2
2024-07-24,Sales,583,19,28,-9
2024-08-23,Sales,594,20,15,5
2024-09-22,Sales,620,27,19,8
2024-10-22,Sales,626,34,30,4
2024-11-21,Sales,615,36,16,20
2024-12-21,Sales,639,35,19,16
2025-01-20,Sales,658,16,19,-3
2025-02-19,Sales,677,28,27,1
2025-03-21,Sales,699,36,24,12
2025-04-20,Sales,679,22,17,5
2025-05-20,Sales,664,26,25,1
2025-06-19,Sales,666,22,19,3
2025-07-19,Sales,680,32,20,12
2025-08-18,Sales,661,24,16,8
2025-09-17,Sales,645,20,26,-6
2025-10-17,Sales,656,23,21,2
2025-11-16,Sales,690,39,20,19
2023-01-01,Marketing,367,7,8,-1
2023-01-31,Marketing,366,16,9,7
2023-03-02,Marketing,362,9,7,2
2023-04-01,Marketing,361,13,14,-1
2023-05-01,Marketing,370,26,15,11
2023-05-31,Marketing,360,13,13,0
2023-06-30,Marketing,363,20,12,8
2023-07-30,Marketing,359,23,6,17
2023-08-29,Marketing,365,13,7,6
2023-09-28,Marketing,375,13,7,6
2023-10-28,Marketing,356,7,15,-8
2023-11-27,Marketing,380,18,9,9
2023-12-27,Marketing,388,24,11,13
2024-01-26,Marketing,395,19,16,3
2024-02-25,Marketing,392,19,12,7
2024-03-26,Marketing,403,8,8,0
2024-04-25,Marketing,405,22,13,9
2024-05-25,Marketing,384,14,5,9
2024-06-24,Marketing,394,23,17,6
2024-07-24,Marketing,382,20,6,14
2024-08-23,Marketing,406,21,13,8
2024-09-22,Marketing,412,17,12,5
2024-10-22,Marketing,402,26,12,14
2024-11-21,Marketing,413,18,10,8
2024-12-21,Marketing,425,19,12,7
2025-01-20,Marketing,423,17,18,-1
2025-02-19,Marketing,444,12,9,3
2025-03-21,Marketing,442,18,16,2
2025-04-20,Marketing,434,16,16,0
2025-05-20,Marketing,460,32,15,17
2025-06-19,Marketing,437,25,12,13
2025-07-19,Marketing,429,23,14,9
2025-08-18,Marketing,429,20,9,11
2025-09-17,Marketing,441,18,23,-5
2025-10-17,Marketing,436,16,16,0
2025-11-16,Marketing,460,15,10,5
2023-01-01,HR,269,9,8,1
2023-01-31,HR,281,14,11,3
2023-03-02,HR,292,11,12,-1
2023-04-01,HR,291,15,8,7
2023-05-01,HR,289,11,9,2
2023-05-31,HR,290,11,10,1
2023-06-30,HR,287,11,8,3
2023-07-30,HR,292,14,7,7
2023-08-29,HR,286,18,13,5
2023-09-28,HR,292,7,8,-1
2023-10-28,HR,294,11,12,-1
2023-11-27,HR,288,9,12,-3
